Аудиодорожки,Субтитры,Качество видео,Год производства,Страна,Жанр,Слоган,Режиссер,Сценарий,Продюсер,Оператор,Композитор,Художник,Монтаж,Бюджет,Маркетинг,Сборы в США,Сборы в мире,Зрители,Премьера в Росcии,Премьера в мире,Релиз на DVD,Возраст,Рейтинг MPAA,Время,Название фильма,Актеры,Оценка фильма,Релиз на Blu-ray,Сборы в России,Ре-релиз (РФ),Цифровой релиз,Директор фильма,4K доступно только на больших экранах,Платформа
['Русский'],['Нет'],[],['2017'],['США'],"['боевик, драма, биография']","[""«It's Not What Stands In Front Of You, It's Who Stands Beside You»""]",['Джозеф Косински'],"['Кен Нолан, Эрик Уоррен Сингер, Шон Флинн']","['Лоренцо Ди Бонавентура, Брюс Франклин, Эрик Хаусэм, ...']",['Клаудио Миранда'],['Джозеф Трапанезе'],"['Кевин Кэвэно, Мариса Франц, Дэвид Мейер, ...']",['Билли Фокс'],['$38 000 000'],,['$18 343 983'],['+ $8 007 339 = $26 351 322'],,"['9 ноября 2017, «Централ Партнершип»']","['18 октября 2017, ...']",,['16+'],['PG-13'],['134 мин. / 02:14'],"['Дело храбрых (2017)', 'Only the Brave16+']","['Джош Бролин', 'Майлз Теллер', 'Джефф Бриджес', 'Джеймс Бэдж Дэйл', 'Тейлор Китч', 'Дженнифер Коннелли', 'Скотт Хэйз', 'Алекс Расселл', 'Бен Харди', 'Натали Холл']",['8.1'],,['$248 714'],,"['16 февраля 2018, «Централ Партнершип»']",,,
"['Русский, Русский 5.1, Английский, Английский 5.1']",['Русские'],[],['1997'],['США'],"['триллер, драма, детектив, приключения']",['«Вы готовы играть?»'],['Дэвид Финчер'],"['Джон Бренкето, Майкл Феррис']","['Сиан Чаффин, Стив Голин, Джон Бренкето, ...']",['Харрис Савидис'],['Говард Шор'],"['Джеффри Бикрофт, Джеймс Дж. Мураками, Стив Сэклад, ...']",['Джеймс Хэйгуд'],['$50 000 000'],,['$48 323 648'],['+ $61 100 000 = $109 423 648'],['10.5 млн'],"['24 января 1998, «Союз»']","['3 сентября 1997, ...']","['1 июня 1998, «AMALGAMA»']",['16+'],['R'],['129 мин. / 02:09'],"['Игра (1997)', 'The Game16+']","['Майкл Дуглас', 'Шон Пенн', 'Дебора Кара Ангер', 'Джеймс Ребхорн', 'Питер Донат', 'Кэррол Бейкер', 'Анна Катарина', 'Армин Мюллер-Шталь', 'Чарльз Мартине', 'Скотт Хантер МакГуайр']",['8.3'],"['17 августа 2010, «Юниверсал Пикчерс Рус»']",['$53 925'],,,,,
['Русский'],['Нет'],[],['2001'],"['Россия, Беларусь']","['боевик, триллер, драма, детектив, военный']",['—'],['Михаил Пташук'],['Владимир Богомолов'],"['Ольга Семаго, Владимир Семаго, Константин Эрнст, ...']",['Владимир Спорышков'],['Александр Градский'],"['Александр Чертович, Владимир Дементьев']",['Наталья Кучеренко'],['$5 052 780'],,,,,['17 января 2001'],"['4 мая 2002, ...']","['10 апреля 2012, «Азимут»']",['16+'],,['118 мин. / 01:58'],"['В августе 44-го (2001)', '16+']","['Евгений Миронов', 'Владислав Галкин', 'Юрий Колокольников', 'Беата Тышкевич', 'Алексей Петренко', 'Александр Феклистов', 'Рамаз Чхиквадзе', 'Александр Балуев', 'Ярослав Бойко', 'Анджей Печиньски']",['8.0'],,['$101 376'],,,,,
"['Русский, Русский 5.1, Английский']",['Русские'],[],['2005'],"['Великобритания, США']","['фэнтези, приключения, семейный']",['«Впереди темные и страшные времена»'],['Майк Ньюэлл'],"['Стивен Кловз, Дж.К. Роулинг']","['Дэвид Хейман, Дэвид Баррон, Крис Каррерас, ...']",['Роджер Прэтт'],['Патрик Дойл'],"['Стюарт Крэйг, Эндрю Эклэнд-Сноу, Марк Бартоломью, ...']",['Мик Одсли'],['$150 000 000'],,['$290 013 036'],['+ $605 908 000 = $895 921 036'],['45.2 млн'],"['22 декабря 2005, «Каро-Премьер»']","['6 ноября 2005, ...']","['11 апреля 2006, «Юниверсал Пикчерс Рус»']",['16+'],['PG-13'],['157 мин. / 02:37'],"['Гарри Поттер и Кубок огня (2005)', 'Harry Potter and the Goblet of Fire16+']","['Дэниэл Рэдклифф', 'Руперт Гринт', 'Эмма Уотсон', 'Брендан Глисон', 'Алан Рикман', 'Майкл Гэмбон', 'Рэйф Файнс', 'Роберт Паттинсон', 'Робби Колтрейн', 'Мэгги Смит']",['7.9'],"['23 декабря 2008, «Юниверсал Пикчерс Рус»']",['$7 837 694'],,,,,
"['Русский, Русский 5.1, Английский, Английский 5.1']","['Английские, Русские']",[],['2008'],"['США, Канада']","['фантастика, боевик, приключения']",['«Героями не рождаются. Героями становятся»'],['Джон Фавро'],"['Марк Фергус, Хоук Остби, Артур Маркам, ...']","['Ави Арад, Кевин Файги, Виктория Алонсо, ...']",['Мэттью Либатик'],['Рамин Джавади'],"['Дж. Майкл Рива, Лиз Карни, Дэвид Ф. Классен, ...']",['Дэн Лебентал'],['$140 000 000'],['$75 000 000'],['$318 604 126'],['+ $266 762 121 = $585 366 247'],['44.3 млн'],"['1 мая 2008, «UPI»']","['14 апреля 2008, ...']","['30 сентября 2008, «Юниверсал Пикчерс Рус»']",['12+'],['PG-13'],['121 мин. / 02:01'],"['Железный человек (2008)', 'Iron Man12+']","['Роберт Дауни мл.', 'Джефф Бриджес', 'Гвинет Пэлтроу', 'Терренс Ховард', 'Лесли Бибб', 'Шон Тоуб', 'Фаран Таир', 'Кларк Грегг', 'Джон Фавро', 'Саид Бадрия']",['8.0'],"['14 апреля 2009, «Юниверсал Пикчерс Рус»']",['$9 491 200'],,,,,
,,,['1995'],['США'],"['триллер, драма, криминал, детектив']",['«Он возомнил себя Богом и начал карать...»'],['Дэвид Финчер'],['Эндрю Кевин Уокер'],"['Стивен Браун, Филлис Карлайл, Уильям С. Геррити, ...']",['Дариус Хонджи'],['Говард Шор'],"['Артур Макс, Гари Уисснер, Майкл Каплан, ...']",['Ричард Фрэнсис-Брюс'],['$33 000 000'],,['$100 125 643'],['+ $227 186 216 = $327 311 859'],['23 млн'],,"['15 сентября 1995, ...']","['25 сентября 2008, «CP-Digital»']",['18+'],['R'],['127 мин. / 02:07'],"['Семь (1995)', 'Se7en18+']","['Брэд Питт', 'Морган Фриман', 'Гвинет Пэлтроу', 'Кевин Спейси', 'Р. Ли Эрми', 'Джон К. Макгинли', 'Ричард Шифф', 'Ричард Раундтри', 'Марк Бун мл.', 'Рег Ю. Кэти']",['8.3'],,,,,,,
['Русский'],['Нет'],[],['1970'],['СССР'],['драма'],['—'],['Андрей Смирнов'],['Вадим Трунин'],,['Павел Лебешев'],"['Булат Окуджава, Альфред Шнитке']",['Владимир Коровин'],['Валерия Белова'],,,,,['28.3 млн'],,"['30 апреля 1971, ...']","['2 октября 2008, «Lizard Cinema Trade»']",['12+'],,['95 мин. / 01:35'],"['Белорусский вокзал (1970)', '12+']","['Евгений Леонов', 'Анатолий Папанов', 'Алексей Глазырин', 'Всеволод Сафонов', 'Нина Ургант', 'Николай Волков мл.', 'Любовь Соколова', 'Маргарита Терехова', 'Раиса Куркина', 'Юрий Визбор']",['8.2'],,,,,['Алексей Стефанский'],,
"['Русский, Французский']",['Русские'],[],['2012'],"['Франция, Бельгия, Люксембург']","['мультфильм, фэнтези, драма, комедия, криминал, приключения, семейный']","['«Кажется, это начало прекрасной дружбы»']","['Стефани Обье, Венсан Патар, Бенжамин Реннер']","['Даниэль Пеннак, Габриэль Венсан']","['Дидье Брюннер, Анри Магалон, Стефан Роэлантс, ...']",,['Венсан Куртуа'],"['Заза, Зик, Ив Ле Пейе']",['Фабьен Альварез-Жиро'],['€9 600 000'],,['$262 075'],['+ $7 908 258 = $8 170 333'],['884.2 тыс'],"['28 марта 2013, «Вольга»']","['23 мая 2012, ...']","['23 апреля 2013, «Вольга»']",['0+'],['PG'],['80 мин. / 01:20'],"['Эрнест и Селестина: Приключения мышки и медведя (2012)', 'Ernest et Célestine0+']","['Ламбер Вильсон', 'Полин Брюннер', 'Энн-Мари Луп', 'Патрис Меленнек', 'Брижитт Виртюд', 'Леонар Луф', 'Доминик Морен', 'Перретт Прадье', 'Ян Лемадик', 'Федор Аткин']",['8.1'],,['$99 819'],,,,,
,,,['1998'],['США'],['драма'],['«Преступление и наказание»'],['Тони Кэй'],['Дэвид МакКенна'],"['Билл Карраро, Майкл Де Лука, Джон Хесс, ...']",['Тони Кэй'],['Энн Дадли'],"['Джон Гари Стил, Филл Загаевский, Дж. Кайлер Блэк, ...']","['Джералд Б. Гринберг, Алан Хайм']",['$20 000 000'],,['$6 719 864'],['+ $17 155 263 = $23 875 127'],['1.3 млн'],"['22 июля 1999, «West»']","['1 июля 1998, ...']","['14 ноября 2002, «West Video»']",['16+'],['R'],['119 мин. / 01:59'],"['Американская история X (1998)', 'American History X16+']","['Эдвард Нортон', 'Эдвард Ферлонг', 'Беверли Д’Анджело', 'Дженнифер Лиен', 'Итан Сапли', 'Файруза Балк', 'Эйвери Брукс', 'Эллиотт Гулд', 'Стейси Кич', 'Уильям Расс']",['8.3'],,,,,,,
['Русский'],['Нет'],[],['1975'],['СССР'],"['мелодрама, комедия']",['—'],['Леонид Гайдай'],"['Владлен Бахнов, Леонид Гайдай, Михаил Зощенко']",,['Сергей Полуянов'],['Александр Зацепин'],"['Евгений Куманьков, Т. Абидова, Александра Збарская']",['Людмила Фейгинова'],,,,,['46.9 млн'],,"['23 октября 1975, ...']","['11 января 2011, «Парадиз»']",['12+'],,['92 мин. / 01:32'],"['Не может быть! (1975)', '12+']","['Михаил Пуговкин', 'Нина Гребешкова', 'Вячеслав Невинный', 'Михаил Светин', 'Олег Даль', 'Светлана Крючкова', 'Наталья Селезнёва', 'Леонид Куравлёв', 'Валентина Теличкина', 'Георгий Вицин']",['8.2'],,,,,['Эрик Вайсберг'],,
